,Round,Pick,Overall,Team,Player,Position,Year,overall_pick,pick_points
11750,4.0,3.0,2004-101,PHI,R.J. Anderson,D,2004,101,-69
11751,4.0,4.0,2004-102,TBL,Mike Lundin,D,2004,102,-70
11752,4.0,5.0,2004-103,PHX,Roman Tomanek,F,2004,103,-71
11753,4.0,6.0,2004-104,DAL,Fredrik Naslund,F,2004,104,-72
11754,4.0,7.0,2004-105,FLA,Evan Schafer,D,2004,105,-73
11755,4.0,8.0,2004-106,ATL,Chad Painchaud,F,2004,106,-74
11756,4.0,9.0,2004-107,NSH,Nick Fugere,F,2004,107,-75
11757,4.0,10.0,2004-108,BOS,Ashton Rome,F,2004,108,-76
11758,4.0,11.0,2004-109,CAR,Brett Carson,D,2004,109,-77
11759,4.0,12.0,2004-110,LAK,Ned Lukacevic,F,2004,110,-78
11760,4.0,13.0,2004-111,MIN,Ryan Jones,F,2004,111,-79
11761,4.0,14.0,2004-112,EDM,Liam Reddox,F,2004,112,-80
11762,4.0,15.0,2004-113,TOR,Roman Kukumberg,F,2004,113,-81
11763,4.0,16.0,2004-114,MIN,Patrick Bordeleau,F,2004,114,-82
11764,4.0,17.0,2004-115,NYI,Wes O'Neill,D,2004,115,-83
11765,4.0,18.0,2004-116,STL,Michal Birner,F,2004,116,-84
11766,4.0,19.0,2004-117,MIN,Julien Sprunger,F,2004,117,-85
11767,4.0,20.0,2004-118,CGY,Aki Seitsonen,F,2004,118,-86
11768,4.0,21.0,2004-119,PHX,Kevin Porter,F,2004,119,-87
11769,4.0,22.0,2004-120,CHI,Mitch Maunu,D,2004,120,-88
11770,4.0,23.0,2004-121,CGY,Kristopher Hogg,F,2004,121,-89
11771,4.0,24.0,2004-122,OTT,Alexander Nikulin,F,2004,122,-90
11772,4.0,25.0,2004-123,CHI,Karel Hromas,F,2004,123,-91
11773,4.0,26.0,2004-124,PHI,David Laliberte,F,2004,124,-92
11774,4.0,27.0,2004-125,VAN,Andrew Sarauer,F,2004,125,-93
11775,4.0,28.0,2004-126,SJS,Torrey Mitchell,F,2004,126,-94
11776,4.0,29.0,2004-127,NYR,Ryan Callahan,F,2004,127,-95
11777,4.0,30.0,2004-128,DET,Evan McGrath,F,2004,128,-96
11778,4.0,31.0,2004-129,SJS,Jason Churchill,G,2004,129,-97
11779,4.0,1.0,2003-102,CAR,Aaron Dawson,D,2003,102,-70
11780,4.0,2.0,2003-103,CBJ,Kevin Jarman,F,2003,103,-71
11781,4.0,3.0,2003-104,CBJ,Philippe Dupuis,F,2003,104,-72
11782,4.0,4.0,2003-105,FLA,Martin Lojek,D,2003,105,-73
11783,4.0,5.0,2003-106,BUF,Jan Hejda,D,2003,106,-74
11784,4.0,6.0,2003-107,BOS,Byron Bitz,F,2003,107,-75
11785,4.0,7.0,2003-108,PHI,Kevin Romy,F,2003,108,-76
11786,4.0,8.0,2003-109,WSH,Andreas Valdix,F,2003,109,-77
11787,4.0,9.0,2003-110,ATL,James Sharrow,D,2003,110,-78
11788,4.0,10.0,2003-111,VAN,Brandon Nolan,F,2003,111,-79
11789,4.0,11.0,2003-112,CGY,Jamie Tardif,F,2003,112,-80
11790,4.0,12.0,2003-113,MTL,Corey Locke,F,2003,113,-81
11791,4.0,13.0,2003-114,BUF,Denis Ezhov,D,2003,114,-82
11792,4.0,14.0,2003-115,PHX,Liam Lindstrom,F,2003,115,-83
11793,4.0,15.0,2003-116,ATL,Guillaume Desbiens,F,2003,116,-84
11794,4.0,16.0,2003-117,NSH,Teemu Lassila,G,2003,117,-85
11795,4.0,17.0,2003-118,BOS,Frank Rediker,D,2003,118,-86
11796,4.0,18.0,2003-119,ANA,Nathan Saunders,D,2003,119,-87
11797,4.0,19.0,2003-120,NYI,Stefan Blaho,F,2003,120,-88
11798,4.0,20.0,2003-121,PIT,Paul Bissonnette,D,2003,121,-89
11799,4.0,21.0,2003-122,NYR,Corey Potter,D,2003,122,-90
11800,4.0,22.0,2003-123,MTL,Danny Stewart,F,2003,123,-91
11801,4.0,23.0,2003-124,FLA,James Pemberton,D,2003,124,-92
11802,4.0,24.0,2003-125,TOR,Konstantin Volkov,F,2003,125,-93
11803,4.0,25.0,2003-126,CAR,Kevin Nastiuk,G,2003,126,-94
11804,4.0,26.0,2003-127,STL,Alexandre Bolduc,F,2003,127,-95
11805,4.0,27.0,2003-128,VAN,Ty Morris,F,2003,128,-96
11806,4.0,28.0,2003-129,BOS,Patrik Valcak,F,2003,129,-97
11807,4.0,29.0,2003-130,CAR,Matej Trojovsky,D,2003,130,-98
11808,4.0,30.0,2003-131,COL,David Svagrovsky,F,2003,131,-99
11809,4.0,31.0,2003-132,DET,Kyle Quincey,D,2003,132,-100
11810,4.0,32.0,2003-133,NSH,Rustam Sidikov,G,2003,133,-101
11811,4.0,33.0,2003-134,DAL,Alexander Naurov,F,2003,134,-102
11812,4.0,34.0,2003-135,OTT,Mattias Karlsson,D,2003,135,-103
11813,4.0,35.0,2003-136,ATL,Michael Vannelli,D,2003,136,-104
11814,4.0,1.0,2002-97,PHX,Lance Monych,F,2002,97,-65
11815,4.0,2.0,2002-98,CBJ,Ivan Tkachenko,F,2002,98,-66
11816,4.0,3.0,2002-99,MTL,Michael Lambert,F,2002,99,-67
11817,4.0,4.0,2002-100,TBL,Dimitri Kazionov,F,2002,100,-68
11818,4.0,5.0,2002-101,PIT,Daniel Fernholm,D,2002,101,-69
11819,4.0,6.0,2002-102,NSH,Brandon Segal,F,2002,102,-70
11820,4.0,7.0,2002-103,ANA,Joonas Vihko,F,2002,103,-71
11821,4.0,8.0,2002-104,LAK,Aaron Rome,D,2002,104,-72
11822,4.0,9.0,2002-105,PHI,Rosario Ruggeri,D,2002,105,-73
11823,4.0,10.0,2002-106,EDM,Ivan Koltsov,D,2002,106,-74
11824,4.0,11.0,2002-107,COL,Mikko Kalteva,D,2002,107,-75
11825,4.0,12.0,2002-108,BUF,Jakub Hulva,F,2002,108,-76
11826,4.0,13.0,2002-109,WSH,Jevon Desautels,F,2002,109,-77
11827,4.0,14.0,2002-110,DAL,Jarkko A. Immonen,F,2002,110,-78
11828,4.0,15.0,2002-111,EDM,Jonas Almtorp,F,2002,111,-79
11829,4.0,16.0,2002-112,CGY,Yuri Artemenkov,F,2002,112,-80
11830,4.0,17.0,2002-113,OTT,Scott Dobben,F,2002,113,-81
11831,4.0,18.0,2002-114,VAN,John Laliberte,F,2002,114,-82
11832,4.0,19.0,2002-115,LAK,Mark Rooneem,F,2002,115,-83
11833,4.0,20.0,2002-116,ATL,Patrick Dwyer,F,2002,116,-84
11834,4.0,21.0,2002-117,NJD,Cam Janssen,F,2002,117,-85
11835,4.0,22.0,2002-118,WSH,Petr Dvorak,F,2002,118,-86
11836,4.0,23.0,2002-119,CBJ,Jekabs Redlihs,D,2002,119,-87
11837,4.0,24.0,2002-120,STL,Robin Jonsson,D,2002,120,-88
11838,4.0,25.0,2002-121,BUF,Marty Magers,G,2002,121,-89
11839,4.0,26.0,2002-122,TOR,David Turon,D,2002,122,-90
11840,4.0,27.0,2002-123,EDM,,,2002,123,-91
11841,4.0,28.0,2002-124,ATL,Lane Manson,D,2002,124,-92
11842,4.0,29.0,2002-125,OTT,Johan Bjork,D,2002,125,-93
11843,4.0,30.0,2002-126,PHI,Konstantin Baranov,F,2002,126,-94
11844,4.0,31.0,2002-127,NYR,Nate Guenin,D,2002,127,-95
11845,4.0,32.0,2002-128,CHI,Matt Ellison,F,2002,128,-96
11846,4.0,33.0,2002-129,COL,Tom Gilbert,D,2002,129,-97
11847,4.0,34.0,2002-130,BOS,Jan Kubista,F,2002,130,-98
11848,4.0,35.0,2002-131,DET,Johan Berggren,D,2002,131,-99
11849,4.0,1.0,2001-98,NSH,Jordin Tootoo,F,2001,98,-66
11850,4.0,2.0,2001-99,OTT,Ray Emery,G,2001,99,-67
11851,4.0,3.0,2001-100,ATL,Brian Sipotz,D,2001,100,-68
11852,4.0,4.0,2001-101,NYI,Cory Stillman,F,2001,101,-69
11853,4.0,5.0,2001-102,ANA,Timo Parssinen,F,2001,102,-70
11854,4.0,6.0,2001-103,MIN,Tony Virta,F,2001,103,-71
11855,4.0,7.0,2001-104,CHI,Brent MacLellan,D,2001,104,-72
11856,4.0,8.0,2001-105,ANA,Vladimir Korsunov,D,2001,105,-73
11857,4.0,9.0,2001-106,SJS,Christian Ehrhoff,D,2001,106,-74
11858,4.0,10.0,2001-107,SJS,Dimitri Patzold,G,2001,107,-75
11859,4.0,11.0,2001-108,CGY,Tomi Maki,F,2001,108,-76
11860,4.0,12.0,2001-109,MTL,Martti Jarventie,D,2001,109,-77
11861,4.0,13.0,2001-110,CAR,Rob Zepp,G,2001,110,-78
11862,4.0,14.0,2001-111,BOS,Matti Kaltiainen,G,2001,111,-79
11863,4.0,15.0,2001-112,ATL,Milan Gajic,F,2001,112,-80
11864,4.0,16.0,2001-113,NYR,Bryce Lampman,D,2001,113,-81
11865,4.0,17.0,2001-114,VAN,Evgeny Gladskikh,F,2001,114,-82
11866,4.0,18.0,2001-115,CHI,Vladimir Gusev,D,2001,115,-83
11867,4.0,19.0,2001-116,LAK,Richard Petiot,D,2001,116,-84
11868,4.0,20.0,2001-117,FLA,Michael Woodford,F,2001,117,-85
11869,4.0,21.0,2001-118,ANA,Brandon Rogers,D,2001,118,-86
11870,4.0,22.0,2001-119,CHI,Aleksey Zotkin,F,2001,119,-87
11871,4.0,23.0,2001-120,PIT,Tomas Surovy,F,2001,120,-88
11872,4.0,24.0,2001-121,DET,Drew MacIntyre,G,2001,121,-89
11873,4.0,25.0,2001-122,STL,Igor Valeev,F,2001,122,-90
11874,4.0,26.0,2001-123,TBL,Aaron Lobb,F,2001,123,-91
11875,4.0,27.0,2001-124,CGY,Egor Shastin,F,2001,124,-92
11876,4.0,28.0,2001-125,WSH,Jeff Lucky,F,2001,125,-93
11877,4.0,29.0,2001-126,DAL,Daniel Volrab,F,2001,126,-94
11878,4.0,30.0,2001-127,OTT,Christoph Schubert,D,2001,127,-95
11879,4.0,31.0,2001-128,NJD,Andrei Posnov,F,2001,128,-96
11880,4.0,32.0,2001-129,DET,Miroslav Blatak,D,2001,129,-97
11881,4.0,33.0,2001-130,COL,Colt King,F,2001,130,-98
11882,4.0,34.0,2001-131,PIT,Ben Eaves,F,2001,131,-99
11883,4.0,1.0,2000-97,CAR,Niclas Wallin,D,2000,97,-65
11884,4.0,2.0,2000-98,ANA,Jonas Ronnqvist,F,2000,98,-66
11885,4.0,3.0,2000-99,MIN,Marc Cavosie,F,2000,99,-67
11886,4.0,4.0,2000-100,TOR,Miguel Delisle,F,2000,100,-68
11887,4.0,5.0,2000-101,NYI,Arto Tukio,D,2000,101,-69
11888,4.0,6.0,2000-102,DET,Stefan Liv,G,2000,102,-70
11889,4.0,7.0,2000-103,BOS,James Brett Nowak,F,2000,103,-71
11890,4.0,8.0,2000-104,SJS,Jon Disalvatore,F,2000,104,-72
11891,4.0,9.0,2000-105,NYI,Vladimir Gorbunov,F,2000,105,-73
11892,4.0,10.0,2000-106,CHI,Scott Balan,D,2000,106,-74
11893,4.0,11.0,2000-107,ATL,Carl Mallette,F,2000,107,-75
11894,4.0,12.0,2000-108,ATL,Blake Robson,F,2000,108,-76
11895,4.0,13.0,2000-109,MTL,Johan Eneqvist,F,2000,109,-77
11896,4.0,14.0,2000-110,CAR,Jared Newman,D,2000,110,-78
11897,4.0,15.0,2000-111,BUF,Ghyslain Rousseau,G,2000,111,-79
11898,4.0,16.0,2000-112,NYR,Premsyl Duben,D,2000,112,-80
11899,4.0,17.0,2000-113,EDM,Lou Dickenson,F,2000,113,-81
11900,4.0,18.0,2000-114,MTL,Christian Larrivee,F,2000,114,-82
11901,4.0,19.0,2000-115,FLA,Chris Eade,D,2000,115,-83
11902,4.0,20.0,2000-116,CGY,Levente Szuper,G,2000,116,-84
11903,4.0,21.0,2000-117,CHI,Olli Malmivaara,D,2000,117,-85
11904,4.0,22.0,2000-118,LAK,Lubomir Visnovsky,D,2000,118,-86
11905,4.0,23.0,2000-119,COL,Brian Fahey,D,2000,119,-87
11906,4.0,24.0,2000-120,FLA,Davis Parley,G,2000,120,-88
11907,4.0,25.0,2000-121,WSH,Ryan Van Buskirk,D,2000,121,-89
11908,4.0,26.0,2000-122,OTT,Derrick Byfuglien,D,2000,122,-90
11909,4.0,27.0,2000-123,DAL,Vadim Khomitski,D,2000,123,-91
11910,4.0,28.0,2000-124,PIT,Michel Ouellet,F,2000,124,-92
11911,4.0,29.0,2000-125,NJD,Phil Cole,D,2000,125,-93
11912,4.0,30.0,2000-126,TBL,Johan Hagglund,F,2000,126,-94
11913,4.0,31.0,2000-127,DET,Dmitri Semyenov,F,2000,127,-95
11914,4.0,32.0,2000-128,DET,Alexander Seluyanov,D,2000,128,-96
11915,4.0,33.0,2000-129,STL,Troy Riddle,F,2000,129,-97
11916,4.0,34.0,2000-130,DET,Aaron Van Leusen,F,2000,130,-98
11917,4.0,1.0,1999-97,MTL,Chris Dyment,D,1999,97,-65
11918,4.0,2.0,1999-98,ATL,David Kaczowka,F,1999,98,-66
11919,4.0,3.0,1999-99,ATL,Rob Zepp,G,1999,99,-67
11920,4.0,4.0,1999-100,NJD,Teemu Kesa,D,1999,100,-68
11921,4.0,5.0,1999-101,NYI,Juraj Kolnik,F,1999,101,-69
11922,4.0,6.0,1999-102,NYI,Johan Halvardsson,D,1999,102,-70
11923,4.0,7.0,1999-103,FLA,Morgan McCormick,F,1999,103,-71
11924,4.0,8.0,1999-104,LAK,Brian McGrattan,F,1999,104,-72
11925,4.0,9.0,1999-105,ANA,Alexandr Chagodayev,F,1999,105,-73
11926,4.0,10.0,1999-106,CGY,Roman Rozakov,D,1999,106,-74
11927,4.0,11.0,1999-107,MTL,Evan Lindsay,G,1999,107,-75
11928,4.0,12.0,1999-108,TOR,Mirko Murovic,F,1999,108,-76
11929,4.0,13.0,1999-109,FLA,Rod Sarich,D,1999,109,-77
11930,4.0,14.0,1999-110,TOR,Jonathan Zion,D,1999,110,-78
11931,4.0,15.0,1999-111,SJS,Willie Levesque,F,1999,111,-79
11932,4.0,16.0,1999-112,COL,Sanny Lindstrom,D,1999,112,-80
11933,4.0,17.0,1999-113,CAR,Ryan Murphy,F,1999,113,-81
11934,4.0,18.0,1999-114,STL,Chad Starling,D,1999,114,-82
11935,4.0,19.0,1999-115,PIT,Ryan Malone,F,1999,115,-83
11936,4.0,20.0,1999-116,PHX,Ryan Lauzon,F,1999,116,-84
11937,4.0,21.0,1999-117,BUF,Karel Mosovsky,F,1999,117,-85
11938,4.0,22.0,1999-118,BOS,Jaakko Harikkala,D,1999,118,-86
11939,4.0,23.0,1999-119,PHI,Jeff Feniak,D,1999,119,-87
11940,4.0,24.0,1999-120,DET,Jari Tolsa,F,1999,120,-88
11941,4.0,25.0,1999-121,NSH,Yevgeny Pavlov,F,1999,121,-89
11942,4.0,26.0,1999-122,COL,Kristian Kovac,F,1999,122,-90
11943,4.0,27.0,1999-123,PHX,Preston Mizzi,F,1999,123,-91
11944,4.0,28.0,1999-124,NSH,Alexandr Krevsun,F,1999,124,-92
11945,4.0,29.0,1999-125,LAK,Daniel Johansson,F,1999,125,-93
11946,4.0,30.0,1999-126,DAL,Jeff Bateman,F,1999,126,-94
11947,4.0,1.0,1998-87,TOR,Alexei Ponikarovsky,F,1998,87,-55
11948,4.0,2.0,1998-88,NSH,Kent Sauer,D,1998,88,-56
11949,4.0,3.0,1998-89,FLA,Ryan Jardine,F,1998,89,-57
11950,4.0,4.0,1998-90,VAN,Regan Darby,D,1998,90,-58
11951,4.0,5.0,1998-91,CAR,Josef Vasicek,F,1998,91,-59
11952,4.0,6.0,1998-92,TBL,Eric Beaudoin,F,1998,92,-60
11953,4.0,7.0,1998-93,CAR,Tommy Vestlund,F,1998,93,-61
11954,4.0,8.0,1998-94,CHI,Matthias Trattnig,F,1998,94,-62
11955,4.0,9.0,1998-95,NYI,Andy Burnham,F,1998,95,-63
11956,4.0,10.0,1998-96,NJD,Mikko Jokela,D,1998,96,-64
11957,4.0,11.0,1998-97,CAR,Chris Madden,G,1998,97,-65
11958,4.0,12.0,1998-98,SJS,Rob Davison,D,1998,98,-66
11959,4.0,13.0,1998-99,EDM,Shawn Horcoff,F,1998,99,-67
11960,4.0,14.0,1998-100,PHX,Ryan Van Buskirk,D,1998,100,-68
11961,4.0,15.0,1998-101,OTT,Petr Schastlivy,F,1998,101,-69
11962,4.0,16.0,1998-102,CGY,Shaun Sutter,F,1998,102,-70
11963,4.0,17.0,1998-103,LAK,Kip Brennan,F,1998,103,-71
11964,4.0,18.0,1998-104,SJS,Miroslav Zalesak,F,1998,104,-72
11965,4.0,19.0,1998-105,NJD,Pierre Dagenais,F,1998,105,-73
11966,4.0,20.0,1998-106,WSH,Krys Barch,F,1998,106,-74
11967,4.0,21.0,1998-107,WSH,Chris Corrinet,F,1998,107,-75
11968,4.0,22.0,1998-108,CGY,Dany Sabourin,G,1998,108,-76
11969,4.0,23.0,1998-109,PHI,Jean-Philippe Morin,D,1998,109,-77
11970,4.0,24.0,1998-110,PIT,Scott Myers,G,1998,110,-78
11971,4.0,25.0,1998-111,DET,Brent Hobday,F,1998,111,-79
11972,4.0,26.0,1998-112,ANA,Viktor Wallin,D,1998,112,-80
11973,4.0,27.0,1998-113,EDM,Kristian Antila,G,1998,113,-81
11974,4.0,28.0,1998-114,NYR,Boyd Kane,F,1998,114,-82
11975,4.0,1.0,1997-81,BOS,Karol Bartanus,F,1997,81,-49
11976,4.0,2.0,1997-82,SJS,Adam Colagiacomo,F,1997,82,-50
11977,4.0,3.0,1997-83,LAK,Joe Corvo,D,1997,83,-51
11978,4.0,4.0,1997-84,TOR,Adam Mair,F,1997,84,-52
11979,4.0,5.0,1997-85,NYI,Petr Mika,F,1997,85,-53
11980,4.0,6.0,1997-86,STL,Didier Tremblay,D,1997,86,-54
11981,4.0,7.0,1997-87,COL,Brad Larsen,F,1997,87,-55
11982,4.0,8.0,1997-88,CAR,Shane Willis,F,1997,88,-56
11983,4.0,9.0,1997-89,WSH,Curtis Cruickshank,G,1997,89,-57
11984,4.0,10.0,1997-90,VAN,Chris Stanley,F,1997,90,-58
11985,4.0,11.0,1997-91,MTL,Daniel Tetrault,D,1997,91,-59
11986,4.0,12.0,1997-92,CGY,Chris St. Croix,D,1997,92,-60
11987,4.0,13.0,1997-93,NYR,Tomi Kallarsson,D,1997,93,-61
11988,4.0,14.0,1997-94,EDM,Jonas Elofsson,D,1997,94,-62
11989,4.0,15.0,1997-95,FLA,Ivan Novoseltsev,F,1997,95,-63
11990,4.0,16.0,1997-96,PHX,Scott McCallum,D,1997,96,-64
11991,4.0,17.0,1997-97,PIT,Alexandre Mathieu,F,1997,97,-65
11992,4.0,18.0,1997-98,STL,Jan Horacek,D,1997,98,-66
11993,4.0,19.0,1997-99,LAK,Sean Blanchard,D,1997,99,-67
11994,4.0,20.0,1997-100,CGY,Ryan Ready,F,1997,100,-68
11995,4.0,21.0,1997-101,BUF,Luc Theoret,D,1997,101,-69
11996,4.0,22.0,1997-102,DET,Quintin Laing,F,1997,102,-70
11997,4.0,23.0,1997-103,PHI,Mikhail Chernov,D,1997,103,-71
11998,4.0,24.0,1997-104,NJD,Lucas Nehrling,D,1997,104,-72
11999,4.0,25.0,1997-105,DAL,Marc Kristoffersson,F,1997,105,-73
12000,4.0,26.0,1997-106,STL,Jame Pollock,D,1997,106,-74
12001,4.0,1.0,1996-81,OTT,Antti Jussi Niemi,D,1996,81,-49
12002,4.0,2.0,1996-82,FLA,Joey Tetarenko,F,1996,82,-50
12003,4.0,3.0,1996-83,NYI,Tyrone Garner,G,1996,83,-51
12004,4.0,4.0,1996-84,LAK,Mikael Simons,F,1996,84,-52
12005,4.0,5.0,1996-85,WSH,Justin Davis,F,1996,85,-53
12006,4.0,6.0,1996-86,TOR,Jason Sessa,F,1996,86,-54
12007,4.0,7.0,1996-87,BUF,Kurt Walsh,F,1996,87,-55
12008,4.0,8.0,1996-88,HFD,Craig MacDonald,F,1996,88,-56
12009,4.0,9.0,1996-89,CGY,Toni Lydman,D,1996,89,-57
12010,4.0,10.0,1996-90,DAL,Mike Hurley,F,1996,90,-58
12011,4.0,11.0,1996-91,NJD,Josef Boumedienne,D,1996,91,-59
12012,4.0,12.0,1996-92,MTL,Kim Staal,F,1996,92,-60
12013,4.0,13.0,1996-93,VAN,Jonas Soling,F,1996,93,-61
12014,4.0,14.0,1996-94,CGY,Christian Lefebvre,D,1996,94,-62
12015,4.0,15.0,1996-95,STL,Jonathan Zukiwsky,F,1996,95,-63
12016,4.0,16.0,1996-96,LAK,Eric Belanger,F,1996,96,-64
12017,4.0,17.0,1996-97,STL,Andrei Petrakov,F,1996,97,-65
12018,4.0,18.0,1996-98,COL,Ben Storey,D,1996,98,-66
12019,4.0,19.0,1996-99,MTL,Etienne Drapeau,F,1996,99,-67
12020,4.0,20.0,1996-100,BOS,Trent Whitfield,F,1996,100,-68
12021,4.0,21.0,1996-101,NJD,Josh MacNevin,D,1996,101,-69
12022,4.0,22.0,1996-102,SJS,Matt Bradley,F,1996,102,-70
12023,4.0,23.0,1996-103,TOR,Vladimir Antipov,F,1996,103,-71
12024,4.0,24.0,1996-104,HFD,Steve Wasylko,F,1996,104,-72
12025,4.0,25.0,1996-105,PIT,Michal Rozsival,D,1996,105,-73
12026,4.0,26.0,1996-106,BUF,Mike Martone,D,1996,106,-74
12027,4.0,27.0,1996-107,COL,Randy Petruk,G,1996,107,-75
12028,4.0,28.0,1996-108,DET,Johan Forsander,F,1996,108,-76
12029,4.0,1.0,1995-79,NJD,Alyn McCauley,F,1995,79,-47
12030,4.0,2.0,1995-80,FLA,Dave Duerden,F,1995,80,-48
12031,4.0,3.0,1995-81,COL,Tomi Kallio,F,1995,81,-49
12032,4.0,4.0,1995-82,CHI,Chris Van Dyk,D,1995,82,-50
12033,4.0,5.0,1995-83,EDM,Mike Minard,G,1995,83,-51
12034,4.0,6.0,1995-84,WIN,Justin Kurtz,D,1995,84,-52
12035,4.0,7.0,1995-85,HFD,Ian MacNeil,F,1995,85,-53
12036,4.0,8.0,1995-86,MTL,Jonathan Delisle,F,1995,86,-54
12037,4.0,9.0,1995-87,HFD,Sami Kapanen,F,1995,87,-55
12038,4.0,10.0,1995-88,FLA,Daniel Tjarnqvist,D,1995,88,-56
12039,4.0,11.0,1995-89,OTT,Kevin Bolibruck,D,1995,89,-57
12040,4.0,12.0,1995-90,SJS,Vesa Toskala,G,1995,90,-58
12041,4.0,13.0,1995-91,NYR,Marc Savard,F,1995,91,-59
12042,4.0,14.0,1995-92,VAN,Lloyd Shaw,D,1995,92,-60
12043,4.0,15.0,1995-93,WSH,Sebastien Charpentier,G,1995,93,-61
12044,4.0,16.0,1995-94,BUF,Matt Davidson,F,1995,94,-62
12045,4.0,17.0,1995-95,WSH,Joel Theriault,D,1995,95,-63
12046,4.0,18.0,1995-96,NJD,Henrik Rehnberg,D,1995,96,-64
12047,4.0,19.0,1995-97,CHI,Pavel Kriz,D,1995,97,-65
12048,4.0,20.0,1995-98,CGY,Jan Labraaten,F,1995,98,-66
12049,4.0,21.0,1995-99,BOS,Cameron Mann,F,1995,99,-67
12050,4.0,22.0,1995-100,PHI,Radovan Somik,F,1995,100,-68
12051,4.0,23.0,1995-101,STL,Michal Handzus,F,1995,101,-69
12052,4.0,24.0,1995-102,PIT,Oleg Belov,F,1995,102,-70
12053,4.0,25.0,1995-103,OTT,Kevin Boyd,F,1995,103,-71
12054,4.0,26.0,1995-104,DET,Anatoly Ustyugov,F,1995,104,-72
12055,4.0,1.0,1994-79,EDM,Adam Copeland,F,1994,79,-47
12056,4.0,2.0,1994-80,ANA,Byron Briske,D,1994,80,-48
12057,4.0,3.0,1994-81,OTT,Bryan Masotta,G,1994,81,-49
12058,4.0,4.0,1994-82,WIN,Steve Cheredaryk,D,1994,82,-50
12059,4.0,5.0,1994-83,HFD,Hnat Domenichelli,F,1994,83,-51
12060,4.0,6.0,1994-84,FLA,David Nemirovsky,F,1994,84,-52
12061,4.0,7.0,1994-85,CHI,Steve McLaren,F,1994,85,-53
12062,4.0,8.0,1994-86,TBL,Dimitri Klevakin,F,1994,86,-54
12063,4.0,9.0,1994-87,QUE,Milan Hejduk,F,1994,87,-55
12064,4.0,10.0,1994-88,PHI,Adam Magarrell,D,1994,88,-56
12065,4.0,11.0,1994-89,SJS,Vaclav Varada,F,1994,89,-57
12066,4.0,12.0,1994-90,NYI,Brad Lukowich,D,1994,90,-58
12067,4.0,13.0,1994-91,CGY,Ryan Duthie,F,1994,91,-59
12068,4.0,14.0,1994-92,VAN,Mike Dubinsky,F,1994,92,-60
12069,4.0,15.0,1994-93,WSH,Matthew Herr,F,1994,93,-61
12070,4.0,16.0,1994-94,STL,Tyler Harlton,D,1994,94,-62
12071,4.0,17.0,1994-95,EDM,Jussi Tarvainen,F,1994,95,-63
12072,4.0,18.0,1994-96,MTL,Arto Kuki,F,1994,96,-64
12073,4.0,19.0,1994-97,CGY,Johan Finnstrom,D,1994,97,-65
12074,4.0,20.0,1994-98,DAL,Jamie Wright,F,1994,98,-66
12075,4.0,21.0,1994-99,BOS,Eric Nickulas,F,1994,99,-67
12076,4.0,22.0,1994-100,NYR,Alexander Korobolin,D,1994,100,-68
12077,4.0,23.0,1994-101,PHI,Sebastien Vallee,F,1994,101,-69
12078,4.0,24.0,1994-102,PIT,Thomas O'Connor,D,1994,102,-70
12079,4.0,25.0,1994-103,NJD,Zdenek Skorepa,F,1994,103,-71
12080,4.0,26.0,1994-104,NYR,Sylvain Blouin,F,1994,104,-72
12081,4.0,1.0,1993-79,WIN,Ruslam Batyrshin,D,1993,79,-47
12082,4.0,2.0,1993-80,SJS,Alexander Osadchy,D,1993,80,-48
12083,4.0,3.0,1993-81,TBL,Marian Kacir,F,1993,81,-49
12084,4.0,4.0,1993-82,ANA,Joel Gagnon,G,1993,82,-50
12085,4.0,5.0,1993-83,FLA,Bill McCauley,F,1993,83,-51
12086,4.0,6.0,1993-84,HFD,Trevor Roenick,F,1993,84,-52
12087,4.0,7.0,1993-85,MTL,Adam Wiesel,D,1993,85,-53
12088,4.0,8.0,1993-86,NYR,Sergei Olympijev,F,1993,86,-54
12089,4.0,9.0,1993-87,DAL,Chad Lang,G,1993,87,-55
12090,4.0,10.0,1993-88,BOS,Charles Paquette,D,1993,88,-56
12091,4.0,11.0,1993-89,STL,Jamal Mayers,F,1993,89,-57
12092,4.0,12.0,1993-90,CHI,Eric Daze,F,1993,90,-58
12093,4.0,13.0,1993-91,OTT,Cosmo Dupaul,F,1993,91,-59
12094,4.0,14.0,1993-92,NYI,Warren Luhning,F,1993,92,-60
12095,4.0,15.0,1993-93,WIN,Ravil Gusmanov,F,1993,93,-61
12096,4.0,16.0,1993-94,LAK,Bob Wren,F,1993,94,-62
12097,4.0,17.0,1993-95,CGY,Jason Smith,D,1993,95,-63
12098,4.0,18.0,1993-96,CGY,Marty Murray,F,1993,96,-64
12099,4.0,19.0,1993-97,DET,John Jakopin,D,1993,97,-65
12100,4.0,20.0,1993-98,VAN,Dieter Kochan,G,1993,98,-66
12101,4.0,21.0,1993-99,MTL,Jean-Francois Houle,F,1993,99,-67
12102,4.0,22.0,1993-100,DET,Benoit Larose,D,1993,100,-68
12103,4.0,23.0,1993-101,QUE,Ryan Tocher,D,1993,101,-69
12104,4.0,24.0,1993-102,CHI,Patrik Pysz,F,1993,102,-70
12105,4.0,25.0,1993-103,BOS,Shawn Bates,F,1993,103,-71
12106,4.0,26.0,1993-104,PIT,Jonas Andersson-Junkka,D,1993,104,-72
12107,4.0,1.0,1992-73,OTT,Radek Hamr,D,1992,73,-41
